---
# Velocity gradient along pathline with the following settings:
#   nsteps: 3116
#   ictrl:  7
#   eqincr: 0.02
#   temp:   298

schema:
  delimiter: ' '
  missing: '-'
  fields:
    - name: step
      type: integer
    - name: L11
      type: float
    - name: L12
      type: float
    - name: L13
      type: float
    - name: L21
      type: float
    - name: L22
      type: float
    - name: L23
      type: float
    - name: L31
      type: float
    - name: L32
      type: float
    - name: L33
      type: float
    - name: tincr
      type: float
---
step L11 L12 L13 L21 L22 L23 L31 L32 L33 tincr
1798 0.0006454308564992195 0.0003295278106904158 0.0003459752427920095 0.0004880417188185164 -0.0005456572056801741 -0.00023826644971254655 -0.0016446893969813271 -0.0005520762468029215 -0.00020036155866258925 -2.5
1799 0.0006466449340560923 0.00029470072664852624 0.00036725661483843195 0.00048010020543841716 -0.0005009054907530563 -0.00026643032106101 -0.0016437916636091452 -0.000558799122985343 -0.00019654511979528446 -2.5
1800 0.0006441466892863882 0.0002946648890463814 0.0003674076169274522 0.0004768879856466335 -0.0005025442265216952 -0.0002668825953539794 -0.0016441374766665872 -0.0005595005746519183 -0.00019651902144113634 -2.5
1801 0.000641622714802613 0.0002946239492688817 0.00036756680233242153 0.0004737237500853702 -0.0005040549704434752 -0.0002672614807870929 -0.0016444701794939547 -0.0005601541265889867 -0.0001967340927388098 -2.5
1802 0.000639073052666902 0.0002945780676213985 0.0003677155913826455 0.0004705497365563379 -0.0005054284406511988 -0.00026749568046581165 -0.001644919951968313 -0.0005608098628208006 -0.00019674584516738588 -2.5
1803 0.0006364986484471925 0.00029452279286965033 0.0003678772862735746 0.00046741001896435306 -0.0005062402468159995 -0.0002677135560421254 -0.0016453178853426075 -0.0005613985423893049 -0.00019664006637522166 -2.5
1804 0.0006338987249930898 0.00029446163585092637 0.00036802956863546507 0.00046432040894619575 -0.0005084306200702158 -0.000268289318733419 -0.0016457067468516262 -0.0005619267304104064 -0.00019677591059912402 -2.5
1805 0.0006312747314110804 0.0002943958058300615 0.00036818268147279437 0.0004612494792790044 -0.0005099408272595707 -0.00026851054736725283 -0.0016461596780188458 -0.0005625762446689953 -0.00019716306874364018 -2.5
1806 0.0006286228611422465 0.0002943217007662693 0.000368343021905752 0.00045802401145238496 -0.0005113126000408749 -0.0002688374033372 -0.0016464871778805804 -0.0005631766620996619 -0.00019679241730055237 -2.5
1807 0.0006259497281838924 0.00029423115562682365 0.0003684871994841051 0.0004549795333827424 -0.0005128562958999579 -0.000269188632932224 -0.0016468711008054524 -0.0005637546149865929 -0.00019701738899046512 -2.5
1808 0.0006232494163139591 0.00029415894401214703 0.00036865355639550864 0.00045187781548006504 -0.0005143623705064659 -0.00026938387393645564 -0.0016472422635494175 -0.0005644282439262381 -0.0001968361807450896 -2.5
1809 0.000618970011179519 0.0002938422707269647 0.0003875767695945602 0.00044560925081816704 -0.0005164929756738285 -0.00023357684831299536 -0.0016522561061344133 -0.0005656738310906133 -0.00015213614989570954 -2.5
1810 0.0006175260045895939 0.0002939703829998884 0.0003876693981089746 0.0004427783580941986 -0.000517665248603035 -0.0002362517511209423 -0.001653370110315929 -0.0005664210265060509 -0.00015210743214200134 -2.5
1811 0.0006160508314985011 0.0002940903148786894 0.0003877431244238408 0.0004401565516421919 -0.0005191335819349831 -0.00023636736358227252 -0.0016543449505944771 -0.0005671244794477245 -0.00015218395394885095 -2.5
1812 0.000614555636200776 0.00029421418062149123 0.0003878108351896989 0.0004374438926705844 -0.0005206236705219587 -0.0002366559487944013 -0.0016552964870375937 -0.0005678951887180566 -0.00015202196001579422 -2.5
1813 0.0006130403378087432 0.00029432771599739174 0.0003878965429039814 0.0004347706426422507 -0.0005220062980856488 -0.00023676564815882658 -0.00165627653931664 -0.0005686210047031762 -0.00015233843282852675 -2.5
1814 0.0006115059820637408 0.0002944499822115274 0.00038799652490541 0.00043214720708140364 -0.0005235154433913909 -0.00023723216799375333 -0.001657321724181955 -0.00056930618556063 -0.00015235021771489664 -2.5
1815 0.0006099497237803968 0.00029453292303274243 0.00038806266229914684 0.00042951170977801326 -0.0005247598471613167 -0.00023753945264640348 -0.0016583135722017016 -0.0005700401905529737 -0.00015244691659327015 -2.5
1816 0.0006083754113522376 0.0002946415685178425 0.0003881388270742625 0.0004268674584206313 -0.0005266710890317623 -0.0002377075561330053 -0.0016593233063953636 -0.0005707693065905958 -0.00015217663812892634 -2.5
1817 0.0006106206852339411 0.0002634396733222354 0.00040735522768547397 0.00041967411430297034 -0.0004897093161583633 -0.0002613599633397351 -0.0016601816310618954 -0.0005729796636807442 -0.00015164038993899752 -2.5
1818 0.0006097697102537957 0.0002633679754232188 0.0004076758944807428 0.00041619228421456173 -0.0004916305621238534 -0.0002617686441753061 -0.0016611053268580193 -0.0005734222108896372 -0.000151821429439833 -2.5
1819 0.0006088966854615834 0.00026330397799240955 0.00040799664801119656 0.0004127910462271536 -0.0004927565481410069 -0.0002618734357718828 -0.00166210494874684 -0.0005744369209347891 -0.00015187334277131796 -2.5
1820 0.0006080012556206003 0.00026322062469326195 0.00040832685868127385 0.00040938514077772494 -0.0004942613073901203 -0.0002621875458359911 -0.001663102290074339 -0.0005752126789259114 -0.00015187217619286924 -2.5
1821 0.0006070831231170244 0.0002631453807128718 0.0004086298708948076 0.00040601572380030986 -0.0004958170547541047 -0.0002625972021148346 -0.0016640657535649318 -0.000575889343532279 -0.0001520667039673323 -2.5
1822 0.0006061448802992978 0.00026305849729858164 0.0004089465915201799 0.0004026733467760631 -0.0004973915872072136 -0.0002628734277760318 -0.0016651424217935052 -0.000576689795587512 -0.00015202011701671083 -2.5
1823 0.0006051831394820621 0.0002629704341778413 0.0004092577453843284 0.0003993246861618271 -0.0004989057183021431 -0.00026314331523730357 -0.0016660730939579067 -0.0005773580828251912 -0.00015200554184744382 -2.5
1824 0.000604199956198336 0.0002628776908251948 0.00040956952901576927 0.000395955329916586 -0.0005005028302021942 -0.00026355301453583345 -0.0016669957880423886 -0.0005781443045156155 -0.00015209857715558085 -2.5
1825 0.0006031963834016562 0.00026278129836417177 0.0004098772020669309 0.00039268182939273616 -0.0005020568189727976 -0.00026385528213453 -0.001668110091102681 -0.000578945057722211 -0.00015223498434578834 -2.5
1826 0.0006021709818224318 0.00026267782212604433 0.00041018539921029886 0.00038939123855475673 -0.0005035828009971372 -0.00026415600933861726 -0.0016690928659494277 -0.0005796722776066736 -0.00015226391630380074 -2.5
1827 0.000601118543367279 0.0002625678156803291 0.000410495997720401 0.00038610033755522195 -0.0005050051595205696 -0.00026443823282895585 -0.0016702754779078601 -0.000580532478515221 -0.00015230137031862505 -2.5
1828 0.0006000529559286959 0.0002624542509264847 0.0004107858490972774 0.0003828508643498315 -0.0005065547479520112 -0.00026475372144214415 -0.001671151874815034 -0.0005808657145271399 -0.0001523421163889885 -2.5
1829 0.0005989658575271684 0.0002623310628044588 0.00041108089562826787 0.0003796052428136561 -0.0005082364906961444 -0.000265169546469484 -0.0016721669219708882 -0.0005819378161376671 -0.00015241342430173758 -2.5
1830 0.0005978514594873442 0.0002622440539169834 0.00041132335488836707 0.00037627437793883025 -0.0005100277235862167 -0.00026545765243967485 -0.0016730774717389988 -0.0005834854168168958 -0.00015232627599033794 -2.5
1831 0.0006885566861564824 -0.00013729716512540162 0.0002004071539264865 0.00011917191672609913 -0.0005386093820547065 -0.0002803871404120312 -0.001789580713258483 -0.0006110704135974905 7.232478268569662e-06 -2.5
1832 0.0005771951006905545 0.00034757479872796204 0.00045715071007711215 0.0003826297983263442 -0.0005732439088765701 -0.0002926132470893976 -0.001662856700650377 -0.0006378014986532672 -0.00018167478127838164 -2.5
1833 0.000577283801472134 0.0003474303435972745 0.00045750542717020197 0.00037994726538856957 -0.0005677642500513036 -0.00029502655380469036 -0.0016627836363429576 -0.000639209697919569 -0.00018151505651520065 -2.5
1834 0.0005773275487501583 0.0003475743012446016 0.00045792741902230433 0.00037719783481417874 -0.0005693610698954982 -0.00029471598459071595 -0.0016631951825146446 -0.0006399548986857619 -0.00018113533544686207 -2.5
1835 0.000572174960571175 0.00039156058735777575 0.00043155976309258546 0.00037096115352698854 -0.0005517523567042751 -0.00030832125427909346 -0.0016647996135017978 -0.0006338184459332341 -0.00018817123503403902 -2.5
1836 0.0005720458033875715 0.0003914467121145384 0.00043192370205989824 0.0003652216125831601 -0.0005345374978281731 -0.0003191533112281118 -0.0016652657566488835 -0.0006300618636714487 -0.0001879962772467244 -2.5
1837 0.0005638205745301985 0.0003901771856685639 0.0005168078524696299 0.0003579297559039289 -0.0005365499372188046 -0.0003017880924779633 -0.001671360604634696 -0.0006312789067547255 -0.0001586687703524513 -2.5
1838 0.0005648776627472211 0.0003904313015124955 0.0005168301593530041 0.0003535031569364092 -0.0005380772604147994 -0.0002851721120278354 -0.0016712852002715934 -0.000631885463256223 -0.00012930191172816412 -2.5
1839 0.0005658770839884599 0.00039067394371476504 0.000517087545902835 0.00034972045831437916 -0.0005395826671483156 -0.0002858063330295911 -0.0016713674098065147 -0.0006324968414525937 -0.00012989809006481857 -2.5
1840 0.0005668210951357118 0.0003908991174624233 0.0005173458914612255 0.00034590527044323956 -0.0005410760014507509 -0.0002862168662387617 -0.001671482284313252 -0.0006330411737069155 -0.00012968639107321597 -2.5
1841 0.0005677075825662302 0.00039111585929340925 0.0005176018782564215 0.0003420727113080504 -0.0005426910071927585 -0.00028699561367298055 -0.0016715654960345132 -0.0006336219594695484 -0.00012978585416257362 -2.5
1842 0.0005685378893126697 0.00039131301665741564 0.0005178561689462715 0.0003382524769018868 -0.0005442605642521522 -0.0002872178507586778 -0.0016716862242896172 -0.0006342397487465604 -0.00012954720428731069 -2.5
1843 0.0005693108935433952 0.0003915088219324652 0.0005180986819616383 0.00033444146585459686 -0.0005458385826261289 -0.00028753815339193717 -0.0016718770995410653 -0.0006348330536819651 -0.00012943696381001598 -2.5
